4.0974	-28	34.57166	15.23581	   
4.1074	18.9	44.69001	15.57135	   
4.1174	8.8	45.09785	16.29406	   
4.1274	-18.5	51.49169	23.38171	   
4.1374	27.2	64.98577	39.87682	   
4.1424	-25.3	48.08336	22.86503	   
4.1474	34	45.76844	21.83392	   
4.1574	8.1	41.49802	14.89449	   
4.1674	-3.5	22.19931	11.89871	   
4.1774	-17.5	48.79215	22.18275	   
4.1874	-25.5	31.47419	13.8414	   
4.1924	34.2	60.27575	36.56003	   
4.1974	109.4	70.48808	48.29119	   
4.2004	-18.7	51.99159	23.58147	   
4.2034	8.3	49.89827	25.39661	   
4.2074	41.1	62.06599	39.64678	   
4.2124	-32.4	31.55845	15.41511	   
4.2174	62.9	56.91317	35.26002	   
4.2224	7.5	45.29845	22.99694	   
4.2274	119.6	64.12176	44.60089	   
4.2324	73.4	63.39386	44.04737	   
4.2374	61.7	64.12584	43.69122	   
4.2404	63.2	57.8137	39.17275	   
4.2424	92.1	55.50931	36.71231	   
4.2454	112.5	63.55155	45.3525	   
4.2474	83.9	62.45928	44.20138	   
4.2524	132	67.07608	49.36071	   
4.2574	40.6	57.46415	39.64807	   
4.2624	55.7	54.4288	35.5912	   
4.2674	14	46.49473	26.49075	   
4.2724	7	46.9987	27.29776	   
4.2774	68.3	55.59521	37.4446	   
4.2824	103.6	65.99703	48.22258	   
4.2874	6.6	55.29902	37.99857	   
4.2974	63	61.01875	42.68393	   
4.3074	48.2	61.15253	43.13272	   
4.3174	63.5	54.80811	38.16817	   
4.3274	75.5	55.27123	36.90744	   
4.3374	102	58.97991	41.2862	   
4.3474	68.8	55.99443	37.74356	   
4.3574	79.5	61.77224	42.71545	   
4.3674	74.9	58.17959	40.32648	   
4.3774	14.1	55.29551	36.29315	   
4.3874	147.2	67.90229	48.03947	   
4.3924	39	54.16491	32.34127	   
4.3974	-24.2	62.18823	40.58197	   
4.4074	18.3	66.3937	41.28986	   
4.4174	46.4	57.65334	36.5264	   
4.4224	156.2	71.47457	51.41015	   
4.4274	17.1	50.19272	24.58514	   
4.4374	15	49.79435	28.3901	   
4.4474	0	45.6	23.9	   
4.4574	45.5	51.44973	33.9238	   
4.4774	62.4	57.11485	38.67435	   
4.4974	-35.3	47.06692	27.64371	   
4.5174	-38.9	39.15172	20.8093	   
4.5374	-12	42.29574	25.79302	   
4.5474	-19.3	36.58728	17.47337	   
4.5574	-13.7	38.09384	17.28643	   
4.5674	20.2	38.68682	18.27211	   
4.5774	0	40.7	21.3	   
4.5874	34.7	48.26883	28.84787	 
