3.8077	16.7	3.316859	3.316859	   
3.8962	17.1	3.417157	3.417157	   
4.0076	16	1.1456	1.1456	   
4.0855	15	3.114482	3.114482	   
4.1886	15.5	3.812624	3.812624	   
4.2077	53.4	5.5046	5.5046	   
4.2171	60.3	5.826185	5.826185	   
4.2263	85.1	2.268657	2.268657	   
4.2417	84.4	6.522219	6.522219	   
4.258	59.5	1.837417	1.837417	   
4.3079	52	5.7941	5.7941	   
4.3583	25.4	1.303098	1.303098	   
4.3874	20	3.224903	3.224903	   
4.4156	12.1	0.646965	0.646965	   
4.4671	13.3	2.11678	2.11678	   
4.5271	10.6	1.911791	1.911791	   
4.5745	13.4	3.211203	3.211203	   
4.5995	6.4	0.711607	0.711607
