4.05	19.0	46.00402	46.00402	   
4.055	-1.0	39.00001	39.00001	   
4.06	43.0	33.02868	33.02868	   
4.065	12.0	26.00284	26.00284	   
4.07	-25.0	31.01032	31.01032	   
4.08	36.0	32.02073	32.02073	   
4.09	33.0	34.0164	34.0164	   
4.1	77.0	39.07776	39.07776	   
4.11	29.0	33.01305	33.01305	   
4.12	28.0	32.01254	32.01254	   
4.13	41.0	40.02151	40.02151	   
4.14	98.0	42.11691	42.11691	   
4.145	113.0	46.14191	46.14191	   
4.15	48.0	39.03024	39.03024	   
4.16	158.0	45.28314	45.28314	   
4.17	53.0	28.05132	28.05132	   
4.18	149.0	51.2224	51.2224	   
4.19	193.0	52.36548	52.36548	   
4.195	215.0	58.40663	58.40663	   
4.2	195.0	53.36607	53.36607	   
4.203	246.0	60.5142	60.5142	   
4.206	225.0	57.45294	57.45294	   
4.21	247.0	58.53608	58.53608	   
4.215	307.0	61.78601	61.78601	   
4.22	225.0	55.46927	55.46927	   
4.225	248.0	53.59086	53.59086	   
4.23	288.0	56.75328	56.75328	   
4.235	254.0	55.59734	55.59734	   
4.24	245.0	54.56616	54.56616	   
4.243	252.0	51.63359	51.63359	   
4.245	166.0	46.30569	46.30569	   
4.248	197.0	50.39584	50.39584	   
4.25	158.0	45.28314	45.28314	   
4.255	129.0	43.19769	43.19769	   
4.26	135.0	44.21156	44.21156	   
4.265	132.0	44.20229	44.20229	   
4.27	167.0	47.30284	47.30284	   
4.275	149.0	47.24123	47.24123	   
4.28	191.0	48.38757	48.38757	   
4.285	158.0	50.25498	50.25498	   
4.29	125.0	48.16638	48.16638	   
4.3	232.0	60.45755	60.45755	   
4.31	243.0	60.50179	60.50179	   
4.32	333.0	65.86767	65.86767	   
4.33	363.0	70.95725	70.95725	   
4.34	462.0	77.42459	77.42459	   
4.35	465.0	79.40664	79.40664	   
4.36	268.0	71.51607	71.51607	   
4.37	577.0	91.87448	91.87448	   
4.38	668.0	96.39986	96.39986	   
4.39	887.0	116.5103	116.5103	   
4.395	674.0	105.2339	105.2339	   
4.4	697.0	106.3648	106.3648	   
4.41	655.0	110.9969	110.9969	   
4.42	692.0	107.3096	107.3096	   
4.425	867.0	111.5066	111.5066	   
4.43	673.0	110.1263	110.1263	   
4.44	685.0	109.2222	109.2222	   
4.45	546.0	105.4574	105.4574	   
4.46	564.0	97.68178	97.68178	   
4.48	455.0	94.13285	94.13285	   
4.5	500.0	93.38094	93.38094	   
4.52	470.0	88.29044	88.29044	   
4.54	627.0	92.20935	92.20935	   
4.55	478.0	91.29057	91.29057	   
4.56	509.0	93.43072	93.43072	   
4.57	554.0	97.62316	97.62316	   
4.58	493.0	93.34282	93.34282	   
4.59	534.0	97.50897	97.50897	 
